epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,0.7591498608304716,0.7370486656200942,0.3409720475857074,0.8571428571428571,0.7411691014902433
2,0.4091158348780412,0.8728414442700158,0.3557609928833259,0.8608058608058609,0.753827157580977
3,0.3235638786803235,0.890894819466248,0.31643264156667306,0.8937728937728938,0.7179095010971603
4,0.27685427951101604,0.9073783359497645,0.4441028453491546,0.8901098901098901,0.6853923452113497
5,0.24013749579058338,0.9183673469387755,0.5059810796063462,0.8278388278388278,0.6809448602245213
6,0.18685792646190996,0.9403453689167975,0.28699374883248036,0.8901098901098901,0.7659444380755855
7,0.2233383376531455,0.9285714285714286,0.6365808037829487,0.8021978021978022,0.7080551122392587
8,0.198642563068979,0.9427001569858713,0.26061125978445393,0.9010989010989011,0.7930598698294565
9,0.13432655586412226,0.9544740973312402,0.395662928191133,0.9047619047619048,0.7266633540383991
10,0.16193048882896147,0.9497645211930926,0.36298895531739944,0.8901098901098901,0.7973843489621133
11,0.11871549385940448,0.9631083202511774,0.35179020166942926,0.9084249084249084,0.7573830409356724
12,0.14095665958345965,0.9544740973312402,0.3119905739476829,0.9047619047619048,0.7892715380435211
