epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,0.696513838165409,0.7676609105180534,0.4250387654199705,0.8717948717948718,0.6706534484596525
2,0.23078735320122687,0.9324960753532182,0.3814345000127515,0.8827838827838828,0.7484016941846119
3,0.10537298567581402,0.9654631083202512,0.45251132187607523,0.8681318681318682,0.697118999421631
4,0.1348920963482355,0.9466248037676609,0.39001718299947813,0.8901098901098901,0.743673215628881
5,0.07235515581698301,0.9772370486656201,0.3454864136814976,0.9157509157509157,0.7876746342415206
6,0.09880902654720906,0.9678178963893249,0.38851762996925104,0.8974358974358975,0.7418960444589735
7,0.1015223675952812,0.9678178963893249,0.4898127032709973,0.8608058608058609,0.7107024657220224
8,0.05824318169024035,0.9835164835164835,0.39448319116245695,0.8974358974358975,0.7207310706634844
9,0.039539918307144796,0.9819466248037677,0.5144461043035755,0.8717948717948718,0.7000037136066548
10,0.03556331615087984,0.9882260596546311,0.46494030662651953,0.8827838827838828,0.6817032603879927
11,0.05758905704637618,0.9811616954474097,0.428751814673781,0.8827838827838828,0.7090301654718832
12,0.02780151247665333,0.9937205651491365,0.41900670894160663,0.9047619047619048,0.7495360737749741
